epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0733,1.53987,3.39362,1.17245,0.52629,0.18155,0.13307,0.0785,1.45149,2.12643,1.1525,0.000132544,0.000132544,0.000132544
2,62.8744,1.48218,2.20304,1.15631,0.51847,0.18311,0.15977,0.093,1.53767,2.03162,1.2287,0.000257104,0.000257104,0.000257104
3,92.7101,1.45216,1.99019,1.15473,0.53098,0.24906,0.22063,0.13407,1.40959,1.66714,1.14383,0.000372863,0.000372863,0.000372863
4,123.021,1.42844,1.86471,1.14517,0.56165,0.23545,0.24247,0.14495,1.3586,1.55185,1.11881,0.0003604,0.0003604,0.0003604
5,153.839,1.40008,1.73911,1.13174,0.57437,0.2731,0.26476,0.16063,1.3152,1.52172,1.09823,0.0003472,0.0003472,0.0003472
6,184.451,1.38746,1.67912,1.12467,0.65274,0.23431,0.2633,0.15352,1.41132,1.53459,1.14599,0.000334,0.000334,0.000334
7,215.01,1.35014,1.61931,1.11437,0.55564,0.28856,0.28835,0.17004,1.37756,1.54197,1.11924,0.0003208,0.0003208,0.0003208
8,245.641,1.34839,1.57292,1.11074,0.57162,0.30997,0.28909,0.17472,1.33198,1.40769,1.10673,0.0003076,0.0003076,0.0003076
9,276.262,1.32512,1.4962,1.09746,0.63021,0.29276,0.32933,0.20888,1.33079,1.44339,1.09796,0.0002944,0.0002944,0.0002944
10,306.983,1.32244,1.48067,1.09682,0.63334,0.31261,0.32814,0.20214,1.34018,1.4024,1.11127,0.0002812,0.0002812,0.0002812
11,337.525,1.3101,1.44582,1.08946,0.64053,0.3225,0.33566,0.20219,1.30895,1.34801,1.09998,0.000268,0.000268,0.000268
12,368.264,1.30472,1.41822,1.08982,0.63418,0.34214,0.35935,0.22027,1.36669,1.36404,1.11989,0.0002548,0.0002548,0.0002548
13,398.608,1.28506,1.36973,1.07556,0.55016,0.34053,0.33031,0.20126,1.305,1.37114,1.09357,0.0002416,0.0002416,0.0002416
14,428.993,1.26307,1.3439,1.06945,0.63821,0.30565,0.33072,0.1918,1.38336,1.33599,1.1233,0.0002284,0.0002284,0.0002284
15,459.587,1.29079,1.3278,1.07698,0.67578,0.3112,0.35682,0.21738,1.31118,1.32001,1.10331,0.0002152,0.0002152,0.0002152
16,490.233,1.25865,1.28882,1.06487,0.64041,0.31713,0.34889,0.20807,1.33485,1.31181,1.10306,0.000202,0.000202,0.000202
17,520.881,1.24807,1.26962,1.06463,0.63256,0.33951,0.34977,0.20916,1.31521,1.31016,1.08802,0.0001888,0.0001888,0.0001888
18,551.633,1.24686,1.26272,1.06102,0.61065,0.31625,0.35091,0.21298,1.30601,1.30437,1.08553,0.0001756,0.0001756,0.0001756
19,582.177,1.23683,1.23963,1.05668,0.53991,0.38175,0.35664,0.21263,1.38651,1.33339,1.13107,0.0001624,0.0001624,0.0001624
20,612.851,1.22861,1.21538,1.04983,0.65565,0.30255,0.3572,0.22142,1.28903,1.27678,1.07973,0.0001492,0.0001492,0.0001492
